"Country","Continent","Date","GDP","GNI","Live births number","Live births rate","Deaths number","Death rate","Rate of increase","Infant deaths number","Infant deaths rate (per 1000 births)","Life expectancy at birth male","Life expectancy at birth female","Total fertility rate"
"Nicaragua","North_America","2010","9317","3730"," "," "," "," "," "," "," ","63.4","68.9",""
"Panama","North_America","2010","26778","14510","67955","19.4","16542"," "," ","910"," ","73.4","78.7","2.4"
"Azerbaijan ","Asia","2010","63404","8960","165643","18.3","53580","5.9","12.4","1843","11.1","70.9","76.1"," "
"French Guiana","South_America","2007","2577","35910","6386","30","690","3.2","26.7","77","12.1","75.1","80.8",""
"Kyrgyzstan ","Asia","2010","5919","2180","146123","28.1","36174","7","21.2","3337","22.8","65.3","73.5","3.06"
"Democratic People's Republic of Korea ","Asia","2008","1116247","24370","345630","14.4","216616","9","5.4","6686","19.3","65.6","72.7","2"
"Occupied Palestinian Territory","Asia","2011"," ","61460"," "," "," "," "," "," "," ","71","73.9"," "
"Brazil","South_America","2009","2476652","11420","2752401"," ","1079228"," "," ","33713"," ","69.7","77.3","1.81"
"New Caledonia","Oceania","2010"," "," ","4178","16.7","1191","4.8","11.9","19"," ","74.4","80.7",""
"Malta ","Europe","2010","8887","24480","4008","9.6","3010","7.2","2.4","22"," ","78.9","83.1","1.37"
"Bangladesh","Asia","2010","111879","1940","2868494"," ","842095"," "," ","104591"," ","66.7","68.8","2.12"
"Austria ","Europe","2010","417656","42050","78742","9.4","77199","9.2","0.2","307","3.9","77.7","83.2","1.44"
"Czech Republic ","Europe","2010","217027","24370","117153","11.1","106844","10.2","1","313","2.7","74.4","80.6","1.49"
"Swaziland","Africa","2007","3978","5930","33084","32.4","18367","18","14.4"," "," ","42.2","43.1"," "
"Canada","North_America","2008","1736051","39660","377886","11.3","238617","7.2","4.2","1911","5.1","78.5","83.2","1.68"
"Estonia ","Europe","2010","22155","20850","15825","11.8","15790","11.8","0","53","3.3","70.6","80.7","1.64"
"Nepal ","Asia","2008","18884","1260"," "," "," "," "," "," "," ","63.6","64.5"," "
"Seychelles","Africa","2011","1007","25140","1625","18.6","691","7.9","10.7","16"," ","67.7","78.1","2.38"
"Egypt ","Africa","2011","229531","8510","2442094","30.4","493096","6.1","24.2"," "," ","68.6","71.4"," "
"Pakistan","Asia","2007","210216","2870","3830973","24","1019533","6.4","17.6","288192","75.2","63.6","67.6","3.7"
"Latvia ","Europe","2010","28252","17700","19219","8.6","30040","13.4","-4.8","110","5.7","68.8","78.4","1.18"
"South Africa","Africa","2009","408237","10710","1000741"," ","572673"," "," "," "," ","53.5","57.2","2.38"
"Kazakhstan","Asia","2008","188050","11250","356575","22.7","152706","9.7","13","7322","20.5","61.9","72.4","2.68"
"Cyprus","Asia","2007","24690","30970","8575","10.9","5391","6.9","4.1","32","3.7","78.3","81.9","1.39"
"France","Europe","2009","2773032","35910","793420","12.7","538116","8.6","4.1","2903","3.7","77.6","84.4"," "
"Spain ","Europe","2010","1476882","31400","485252","10.5","381409","8.3","2.3","1531","3.2","78.9","84.9","1.38"
"Greenland ","North_America","2010","1268"," ","869","15.4","504","8.9","6.5","6"," ","67.8","72.8","2.28"
"Mauritius ","Africa","2010","11260","14330","15005","11.7","9131","7.1","4.6","187","12.5","69.5","76.7","1.47"
"United Kingdom of Great Britain and Northern Ireland ","Europe","2008","2445408","36010","794383","12.9","579697","9.4","3.5","3745","4.7","77.5","81.7","1.96"
"Germany ","Europe","2011","3600833","40230","662685","8.1","852328","10.4","-2.3","2408","3.6","77.7","82.7"," "
"Saint Helena ","Africa","2009"," ","1270","35","8.5","41","9.9","-1.5"," "," ","72.5","79.2"," "
