"Country","Continent","Date","GDP","GNI","Live births number","Live births rate","Deaths number","Death rate","Rate of increase","Infant deaths number","Infant deaths rate (per 1000 births)","Life expectancy at birth male","Life expectancy at birth female","Total fertility rate"
"Kazakhstan","Asia","2008","188050","11250","356575","22.7","152706","9.7","13","7322","20.5","61.9","72.4","2.68"
"Azerbaijan ","Asia","2010","63404","8960","165643","18.3","53580","5.9","12.4","1843","11.1","70.9","76.1"," "
"Mauritius ","Africa","2010","11260","14330","15005","11.7","9131","7.1","4.6","187","12.5","69.5","76.7","1.47"
"Rwanda","Africa","2009","6375","1270","429065"," ","143538"," "," "," "," ","49.4","53.3","5.42"
"Serbia ","Europe","2010","45820","11540","68304","9.4","103211","14.2","-4.8","460","6.7","71.4","76.6","1.41"
"Poland ","Europe","2010","514496","20430","413300","10.8","378478","9.9","0.9","2057","5","72.1","80.6","1.38"
"Iceland ","Europe","2010","14026","31020","4907","15.4","2020","6.4","9.1","11"," ","79.5","83.5","2.2"
"Faeroe Islands ","Europe","2008","2198"," ","665","13.7","378","7.8","5.9"," "," ","76.8","82.3",""
"Czech Republic ","Europe","2010","217027","24370","117153","11.1","106844","10.2","1","313","2.7","74.4","80.6","1.49"
"Argentina","South_America","2010","446044","17130","756176","18.7","318602","7.9","10.8","8961","11.9","71.6","79.1","2.39"
"Paraguay","South_America","2010","23837","5390"," "," "," "," "," "," "," ","69.7","73.9",""
"South Africa","Africa","2009","408237","10710","1000741"," ","572673"," "," "," "," ","53.5","57.2","2.38"
"Georgia","Asia","2009","14367","5350","63377","14.4","46625","10.6","3.8","945","14.9","69.9","78.7"," "
"Jordan ","Asia","2007","28840","5930","185011","32.3","20924"," "," "," "," ","71.6","74.4","3.6"
"Turkey ","Asia","2009","774983","16940","1254946","17.4","367971"," "," ","19431","15.5","71.5","76.1","2.12"
"Sweden ","Europe","2010","539682","42200","115641","12.3","90487","9.6","2.7","294","2.5","79.5","83.5","1.99"
"Hungary ","Europe","2010","140029","20310","90335","9","130456","13","-4","481","5.3","70.5","78.1","1.26"
"Norway ","Europe","2010","485803","61460","61442","12.6","41499","8.5","4.1","171","2.8","78.9","83.2","1.95"
"China, Hong Kong SAR ","Asia","2009","248612","8390","82095","11.7","41175","5.9","5.8","136","1.7","79.7","85.9","1.04"
"Greece ","Europe","2009","289627","25100","117933","10.5","108316","9.6","0.9","371","3.1","77.7","82.8","1.52"
"Egypt ","Africa","2011","229531","8510","2442094","30.4","493096","6.1","24.2"," "," ","68.6","71.4"," "
"Republic of Moldova ","Europe","2010","7000","86440","40474","11.4","43631","12.2","-0.9","476","11.8","65","73.4","1.31"
"Saint Helena ","Africa","2009"," ","1270","35","8.5","41","9.9","-1.5"," "," ","72.5","79.2"," "
"Nepal ","Asia","2008","18884","1260"," "," "," "," "," "," "," ","63.6","64.5"," "
"Senegal ","Africa","2011","14291","1940"," "," "," "," "," "," "," ","56.9","59.8"," "
"Venezuela (Bolivarian Republic of) ","South_America","2007","316482","4330","615371","22.4","118594","4.3","18.1","6340","10.3","70.7","76.6","2.58"
"French Guiana","South_America","2007","2577","35910","6386","30","690","3.2","26.7","77","12.1","75.1","80.8",""
"Switzerland ","Europe","2010","659308","52570","80290","10.3","62649","8","2.3","307","3.8","79.9","84.4","1.54"
"Lithuania ","Europe","2010","42725","19640","35626","10.8","42120","12.8","-2","153","4.3","68","78.8","1.55"
